algorithm,similes,property,value
Tanimoto-distance,Cn1c(C(N)=O)cc2c1CN(C(=O)C1CC(=O)N(C(C)(C)C)C1)CC2,sol_time,inf
Tanimoto-distance,COc1ccc(OC)c2c(C(=O)O)c(Cc3ccccc3)ccc12,sol_time,309.0
Tanimoto-distance,OCCC1CN(C2CCN(c3ccccc3F)CC2)CCN1Cc1ccccc1,sol_time,inf
Tanimoto-distance,CN(C)C(=O)N1CC(=O)NCC12CCN(C(=O)c1ccco1)C2,sol_time,inf
Tanimoto-distance,Oc1cc2c(cc1O)C1CC1C2,sol_time,inf
Tanimoto-distance,CC(=Nc1ccc2c(c1)C(NC(=O)c1ccc(C(F)(F)F)cc1)C(O)C2)N(C)Cc1ccc(F)cc1,sol_time,154.0
Tanimoto-distance,CC(C)(C)C(=O)N1Cc2cnnn2-c2ccccc2C1C#N,sol_time,inf
Tanimoto-distance,COc1ccc(C(c2nnnn2CS(=O)(=O)c2ccc(C)cc2)N2CCN(Cc3ccccc3)CC2)cc1,sol_time,inf
Tanimoto-distance,Cc1cc(O)cc2c1-c1ccc(O)c(C)c1OC2,sol_time,602.0
Tanimoto-distance,Fc1ccc(-n2ncnc2-c2cc3c(s2)-c2ccccc2OCC3)c(F)c1,sol_time,inf
Tanimoto-distance,Nc1nc(N)c2nnn(CC3CCC(CO)C3)c2n1,sol_time,inf
